Adams 
Addison 
Afton 
Airmont 
Akron 
Alabama 
Albany 
Albion 
Alden 
Alexander 
Alexandria 
Alexandria Bay 
Alfred 
Allegany 
Allen 
Alma 
Almond 
Altamont 
Altamont
(changed to Tupper Lake 2004) 
Altmar 
Altona 
Amboy 
Amchir 
Amenia 
Ames 
Amherst 
Amity 
Amityville 
Amsterdam 
Ancram 
Andes 
Andover 
Angelica 
Angola 
Annsville 
Antwerp 
Arcade 
Arcadia 
Ardsley 
Argyle 
Arietta 
Arkport 
Arkwright 
Asharoken 
Ashford 
Ashland 
Athens 
Atlantic Beach 
Attica 
Auburn 
Augusta 
Aurelius 
Aurora 
Ausable 
Austerlitz 
Ava 
Avoca 
Avon 
Babylon 
Bainbridge 
Baldwin 
Baldwinsville 
Ballston 
Ballston Spa 
Bangor 
Barker 
Barneveld 
Barre 
Barrington 
Barton 
Batavia 
Bath 
Baxter Estates 
Bayville 
Beacon 
Bedford 
Beekman 
Beekmantown 
Belfast 
Belle Terre 
Bellerose 
Bellmont 
Bellport 
Belmont 
Bemus Point 
Bennington 
Benson 
Benton 
Bergen 
Berkshire 
Berlin 
Berne 
Bethany 
Bethel 
Bethlehem 
Big Flats 
Binghamton 
Birdsall 
Black Brook 
Black River 
Blasdell 
Bleecker 
Blenheim 
Bloomfield 
Blooming Grove 
Bloomingburgh 
Bloomingdale 
Bolivar 
Bolton 
Bombay 
Boonville 
Boston 
Bovina 
Boylston 
Bradford 
Brandon 
Brant 
Brasher 
Brewster 
Briarcliff Manor 
Bridgewater 
Brighton 
Brightwaters 
Bristol 
Broadalbin 
Brockport 
Brocton 
Bronxville 
Brookfield 
Brookhaven 
Brookville 
Broome 
Brownville 
Brunswick 
Brushton 
Brutus 
Buchanan 
Buffalo 
Burdett 
Burke 
Burlington 
Burns 
Busti 
Butler 
Butternuts 
Byron 
Cairo 
Caledonia 
Callicoon 
Cambria 
Cambridge 
Camden 
Cameron 
Camillus 
Campbell 
Canaan 
Canadice 
Canajoharie 
Canandaigua 
Canaseraga 
Canastota 
Candor 
Caneadea 
Canisteo 
Canton 
Cape Vincent 
Carlisle 
Carlton 
Carmel 
Caroga 
Caroline 
Carroll 
Carrollton 
Carthage 
Cassadaga 
Castile 
Castleton-on-Hudson 
Castorland 
Catharine 
Catlin 
Cato 
Caton 
Catskill 
Cattaraugus 
Cayuga 
Cayuga Heights 
Cayuta 
Cazenovia 
Cedarhurst 
Celoron 
Centerville 
Central Square 
Centre Island 
Champion 
Champlain 
Charleston 
Charlotte 
Charlton 
Chateaugay 
Chatham 
Chaumont 
Chautauqua 
Chazy 
Cheektowaga 
Chemung 
Chenango 
Cherry Creek 
Cherry Valley 
Chester 
Chesterfield 
Chestnut Ridge 
Chili 
Chittenango 
Churchville 
Cicero 
Cincinnatus 
Clare 
Clarence 
Clarendon 
Clarkson 
Clarkstown 
Clarksville 
Claverack 
Clay 
Clayton 
Clayville 
Clermont 
Cleveland 
Clifton 
Clifton Park 
Clifton Springs 
Clinton 
Clyde 
Clymer 
Cobleskill 
Cochecton 
Coeymans 
Cohocton 
Cohoes 
Colchester 
Cold Brook 
Cold Spring 
Colden 
Colesville 
Collins 
Colonie 
Colton 
Columbia 
Columbus 
Concord 
Conesus 
Conesville 
Conewango 
Conklin 
Conquest 
Constable 
Constableville 
Constantia 
Cooperstown 
Copake 
Copenhagen 
Corfu 
Corinth 
Corning 
Cornwall 
Cornwall-on-Hudson 
Cortland 
Cortlandt 
Cortlandville 
Cove Neck 
Coventry 
Covert 
Covington 
Coxsackie 
Crawford 
Croghan 
Croton-on-Hudson 
Crown Point 
Cuba 
Cuyler 
Danby 
Dannemora 
Dansville 
Danube 
Darien 
Davenport 
Day 
Dayton 
De Kalb 
De Peyster 
De Ruyter 
De Witt 
Decatur 
Deerfield 
Deerpark 
Deferiet 
Delanson 
Delaware 
Delevan 
Delhi 
Denmark 
Denning 
Depew 
Deposit 
Dering Harbor 
DeRuyter 
Dexter 
Diana 
Dickinson 
Dix 
Dobbs Ferry 
Dolgeville 
Dover 
Dresden 
Dryden 
Duane 
Duanesburg 
Dundee 
Dunkirk 
Durham 
Eagle 
Earlville 
East Aurora 
East Bloomfield 
East Fishkill 
East Greenbush 
East Hampton 
East Hills 
East Otto 
East Randolph 
East Rochester 
East Rockaway 
East Syracuse 
East Williston 
Eastchester 
Easton 
Eaton 
Eden 
Edinburg 
Edmeston 
Edwards 
Elba 
Elbridge 
Elizabethtown 
Ellenburg 
Ellenville 
Ellery 
Ellicott 
Ellicottville 
Ellington 
Ellisburg 
Elma 
Elmira 
Elmira Heights 
Elmsford 
Endicott 
Enfield 
Ephratah 
Erin 
Erwin 
Esopus 
Esperance 
Essex 
Evans 
Evans Mills 
Exeter 
Fabius 
Fair Haven 
Fairfield 
Fairport 
Falconer 
Fallsburg 
Farmersville 
Farmingdale 
Farmington 
Farnham 
Fayette 
Fayetteville 
Fenner 
Fenton 
Fillmore 
Fine 
Fishkill 
Fleischmanns 
Fleming 
Floral Park 
Florence 
Florida 
Flower Hill 
Floyd 
Fonda 
Forestburgh 
Forestport 
Forestville 
Fort Ann 
Fort Covington 
Fort Edward 
Fort Johnson 
Fort Plain 
Fowler 
Frankfort 
Franklin 
Franklinville 
Fredonia 
Freedom 
Freeport 
Freetown 
Freeville 
Fremont 
French Creek 
Friendship 
Fulton 
Fultonville 
Gaines 
Gainesville 
Galen 
Gallatin 
Galway 
Garden City 
Gardiner 
Gates 
Geddes 
Genesee 
Genesee Falls 
Geneseo 
Geneva 
Genoa 
Georgetown 
German 
German Flatts 
Germantown 
Gerry 
Ghent 
Gilbertsville 
Gilboa 
Glen 
Glen Cove 
Glen Park 
Glens Falls 
Glenville 
Gloversville 
Gorham 
Goshen 
Gouverneur 
Gowanda 
Grafton 
Granby 
Grand Island 
Grand View-on-Hudson 
Granger 
Granville 
Great Neck 
Great Neck Estates 
Great Neck Plaza 
Great Valley 
Greece 
Green Island 
Greenburgh 
Greene 
Greenfield 
Greenport 
Greenville 
Greenwich 
Greenwood 
Greenwood Lake 
Greig 
Groton 
Grove 
Groveland 
Guilderland 
Guilford 
Hadley 
Hagaman 
Hague 
Halcott 
Halfmoon 
Hamburg 
Hamden 
Hamilton 
Hamlin 
Hammond 
Hammondsport 
Hampton 
Hamptonburgh 
Hancock 
Hannibal 
Hanover 
Hardenburgh 
Harford 
Harmony 
Harpersfield 
Harrietstown 
Harriman 
Harrisburg 
Harrison 
Harrisville 
Hartford 
Hartland 
Hartsville 
